,date,ra,per
54,2014-11-25,67.05600000000004,2
369,2015-10-06,77.47200000000004,15
382,2015-10-19,89.408,15
630,2016-06-23,82.54800000000003,17
637,2016-06-30,83.07200000000002,17
641,2016-07-04,77.212,17
740,2016-10-11,119.892,19
759,2016-10-30,94.238,20
767,2016-11-07,89.91600000000001,20
781,2016-11-21,145.79599999999996,20
782,2016-11-22,109.22000000000008,20
1164,2017-12-09,70.358,29
1268,2018-03-23,102.36000000000003,30
1310,2018-05-04,75.43800000000002,31
1319,2018-05-13,78.232,31
1335,2018-05-29,85.59400000000004,32
1369,2018-07-02,64.52000000000001,32
1460,2018-10-01,86.868,34
1471,2018-10-12,74.93600000000004,34
1746,2019-07-14,69.85,43
1824,2019-09-30,65.78800000000001,46
