,datetime1m,ra,month,month1
0,2014-10,212.34999999999988,2014-10,2014-10-01
1,2014-11,357.6320000000002,2014-11,2014-11-01
2,2014-12,318.51600000000013,2014-12,2014-12-01
3,2015-01,41.91,2015-01,2015-01-01
4,2015-02,42.16399999999999,2015-02,2015-02-01
5,2015-03,16.764,2015-03,2015-03-01
6,2015-04,69.85000000000001,2015-04,2015-04-01
7,2015-05,228.5999999999999,2015-05,2015-05-01
8,2015-06,106.68000000000005,2015-06,2015-06-01
9,2015-07,96.26600000000009,2015-07,2015-07-01
10,2015-08,193.0419999999997,2015-08,2015-08-01
11,2015-09,298.9580000000001,2015-09,2015-09-01
12,2015-10,389.8940000000001,2015-10,2015-10-01
13,2015-11,174.24399999999991,2015-11,2015-11-01
14,2015-12,100.08000000000006,2015-12,2015-12-01
15,2016-01,20.066,2016-01,2016-01-01
16,2016-02,26.670000000000012,2016-02,2016-02-01
17,2016-03,4.318,2016-03,2016-03-01
18,2016-04,91.44000000000004,2016-04,2016-04-01
19,2016-05,171.70399999999995,2016-05,2016-05-01
20,2016-06,390.6620000000004,2016-06,2016-06-01
21,2016-07,365.7560000000002,2016-07,2016-07-01
22,2016-08,136.14399999999998,2016-08,2016-08-01
23,2016-09,260.3499999999996,2016-09,2016-09-01
24,2016-10,409.4520000000004,2016-10,2016-10-01
25,2016-11,798.0680000000013,2016-11,2016-11-01
26,2016-12,135.89000000000013,2016-12,2016-12-01
27,2017-01,9.143999999999998,2017-01,2017-01-01
28,2017-02,6.857999999999999,2017-02,2017-02-01
29,2017-03,42.418000000000006,2017-03,2017-03-01
30,2017-04,89.15400000000001,2017-04,2017-04-01
31,2017-05,293.8899999999998,2017-05,2017-05-01
32,2017-06,186.6899999999999,2017-06,2017-06-01
33,2017-07,210.31199999999984,2017-07,2017-07-01
34,2017-08,223.51999999999998,2017-08,2017-08-01
35,2017-09,165.85399999999996,2017-09,2017-09-01
36,2017-10,155.4480000000001,2017-10,2017-10-01
37,2017-11,409.4480000000003,2017-11,2017-11-01
38,2017-12,268.73200000000014,2017-12,2017-12-01
39,2018-01,282.9559999999999,2018-01,2018-01-01
40,2018-02,6.096,2018-02,2018-02-01
41,2018-03,118.87000000000006,2018-03,2018-03-01
42,2018-04,31.750000000000004,2018-04,2018-04-01
43,2018-05,427.48200000000037,2018-05,2018-05-01
44,2018-06,482.09800000000064,2018-06,2018-06-01
45,2018-07,363.21800000000025,2018-07,2018-07-01
46,2018-08,245.62399999999957,2018-08,2018-08-01
47,2018-09,264.4120000000001,2018-09,2018-09-01
48,2018-10,419.86400000000066,2018-10,2018-10-01
49,2018-11,249.4279999999998,2018-11,2018-11-01
50,2018-12,19.050000000000004,2018-12,2018-12-01
51,2019-01,15.23999999999999,2019-01,2019-01-01
52,2019-02,18.034,2019-02,2019-02-01
53,2019-03,16.509999999999998,2019-03,2019-03-01
54,2019-04,70.35800000000003,2019-04,2019-04-01
55,2019-05,126.75200000000005,2019-05,2019-05-01
56,2019-06,234.44199999999975,2019-06,2019-06-01
57,2019-07,235.7119999999996,2019-07,2019-07-01
58,2019-08,302.766,2019-08,2019-08-01
59,2019-09,207.26600000000002,2019-09,2019-09-01
60,2019-10,219.2099999999999,2019-10,2019-10-01
61,2019-11,252.98400000000004,2019-11,2019-11-01
