"minsize","maxsize","fitfcn","npar","par1","par2","convergerror","ksstat","loglike","aic","aicdif"
2,487,"exp",1,0.0181937826492595,NA,NA,0.068090845316377,-4354.53181042976,8711.06362085952,0
2,487,"pow",1,1.0010557489914,NA,NA,0.228070784429055,-4641.06991734024,9284.13983468049,573.076213820974
2,487,"weib",2,1.0261778520036,55.7772850240761,0,0.071143261772699,-4354.15193992819,8712.30387985638,1.24025899686058
5,487,"exp",1,0.0191369162294678,NA,NA,0.068803436375001,-4286.06534484878,8574.13068969755,4.62432231733692
5,487,"pow",1,1.14662527734257,NA,NA,0.160315457121958,-4452.54485983557,8907.08971967113,337.583352290918
5,487,"weib",2,0.913049236420533,48.6020222911915,0,0.0554456754433894,-4282.75318369011,8569.50636738022,0
10,487,"exp",1,0.0195615733022155,NA,NA,0.0767092645687435,-3956.31744160491,7914.63488320982,19.0471961976427
10,487,"pow",1,1.3932672325503,NA,NA,0.14494486334367,-4037.42856585215,8076.85713170429,181.269444692118
10,487,"weib",2,0.811706918147762,40.6625072433221,0,0.0545594891965146,-3945.79384350609,7895.58768701217,0
25,487,"exp",1,0.0197169681197006,NA,NA,0.102818488939175,-2954.88003546126,5911.76007092252,62.3464089326508
25,487,"pow",1,1.95875431310278,NA,NA,0.0496844150285277,-2931.58460533983,5865.16921067965,15.7555486897854
25,487,"weib",2,0.443800026037149,6.51880043525673,0,0.0198069128097867,-2922.70683099493,5849.41366198987,0
2,5e+05,"exp",1,0.0182167144682528,NA,NA,0.0682690538409077,-4354.65909365061,8711.31818730122,0
2,5e+05,"pow",1,1.31272209689498,NA,NA,0.339196367563772,-4950.99179994039,9903.98359988078,1192.66541257956
2,5e+05,"weib",2,1.02721145865829,55.7642749590872,0,0.0710635839270727,-4354.23830435535,8712.47660871069,1.15842140947461
5,5e+05,"exp",1,0.0191407677712897,NA,NA,0.0687854287718602,-4286.15051105217,8574.30102210434,4.27282726684825
5,5e+05,"pow",1,1.48055725488664,NA,NA,0.269696483216731,-4628.98476874257,9259.96953748514,689.941342647648
5,5e+05,"weib",2,0.916537479046419,48.6400739340948,0,0.0551547084607201,-4283.01409741875,8570.0281948375,0
10,5e+05,"exp",1,0.0195779351655028,NA,NA,0.0764673540477928,-3956.38812390998,7914.77624781997,18.0506200002274
10,5e+05,"pow",1,1.6787641091501,NA,NA,0.220379752561405,-4131.05117689776,8264.10235379553,367.37672597579
10,5e+05,"weib",2,0.821208448089139,41.0034623418572,0,0.0534172475094516,-3946.36281390987,7896.72562781974,0
25,5e+05,"exp",1,0.0197334177611771,NA,NA,0.102644635506283,-2954.94594786419,5911.89189572839,56.5934781375863
25,5e+05,"pow",1,2.16248737904207,NA,NA,0.079804595763185,-2956.97410737592,5915.94821475184,60.6497971610352
25,5e+05,"weib",2,0.528692195471718,12.0608377899064,0,0.0203133408476974,-2925.6492087954,5855.2984175908,0
2,NA,"exp",1,0.0182167144682528,NA,NA,0.0682690538409077,-4354.65909365061,8711.31818730122,0
2,NA,"pow",1,1.34042954212531,NA,NA,0.358044404280823,-4965.96935429883,9933.93870859767,1222.62052129645
2,NA,"weib",2,1.02742533906989,55.7675235072251,0,0.0710742155452634,-4354.23834947062,8712.47669894125,1.15851164002925
5,NA,"exp",1,0.0191407677712897,NA,NA,0.0687854287718602,-4286.15051105217,8574.30102210434,4.27283906991033
5,NA,"pow",1,1.4913643641697,NA,NA,0.275148104909644,-4632.20074987767,9266.40149975535,696.373316720914
5,NA,"weib",2,0.916566730309495,48.6393669047381,0,0.0551435133514059,-4283.01409151722,8570.02818303443,0
10,NA,"exp",1,0.0195779351655028,NA,NA,0.0764673540477928,-3956.38812390998,7914.77624781997,18.0506468805143
10,NA,"pow",1,1.68200552760217,NA,NA,0.221634375938033,-4131.56068667067,8265.12137334134,368.395772401891
10,NA,"weib",2,0.821314379620051,41.0234506282362,0,0.0533327904986446,-3946.36280046973,7896.72560093945,0
25,NA,"exp",1,0.0197334177611771,NA,NA,0.102644635506283,-2954.94594786419,5911.89189572839,56.5934481333106
25,NA,"pow",1,2.1626220400372,NA,NA,0.079836395397213,-2956.9801040148,5915.9602080296,60.6617604345211
25,NA,"weib",2,0.529025838094416,12.0908927062307,0,0.0204073923040328,-2925.64922379754,5855.29844759508,0
