"minsize","maxsize","fitfcn","npar","par1","par2","convergerror","ksstat","loglike","aic","aicdif","nbootstraps","alpha1","alpha2","par1lo1","par1hi1","par1lo2","par1hi2","par2lo1","par2hi1","par2lo2","par2hi2"
2,5e+05,"exp",1,0.0182167144682528,NA,NA,0.0682690538409077,-4354.65909365061,8711.31818730122,0,1000,0.05,0.01,0.0166091152167503,0.0199416002588954,0.0160284115947284,0.0206747308586843,NA,NA,NA,NA
2,5e+05,"pow",1,1.31272209689498,NA,NA,0.339196367563772,-4950.99179994039,9903.98359988078,1192.66541257956,1000,0.05,0.01,1.29334992047301,1.32900263921514,1.2884572681989,1.3311570753538,NA,NA,NA,NA
2,5e+05,"weib",2,1.02721694927797,55.7594811050077,0,0.0710308043820835,-4354.23830504293,8712.47661008587,1.15842278465243,1000,0.05,0.01,0.938311637190065,1.19705652745277,0.916796263852315,1.23570995814239,49.8405697092873,63.5422252296126,48.4879968478064,64.86293234235
5,5e+05,"exp",1,0.0191407677712897,NA,NA,0.0687854287718602,-4286.15051105217,8574.30102210434,4.27276508401337,1000,0.05,0.01,0.0173231001365822,0.0210858849307017,0.0169142011868415,0.0216394416467086,NA,NA,NA,NA
5,5e+05,"pow",1,1.48055725488664,NA,NA,0.269696483216731,-4628.98476874257,9259.96953748514,689.941280464813,1000,0.05,0.01,1.4473158516078,1.50743452684748,1.43848143341548,1.51456757638183,NA,NA,NA,NA
5,5e+05,"weib",2,0.916346484454585,48.6223340069426,0,0.0550773363807634,-4283.01412851017,8570.02825702033,0,1000,0.05,0.01,0.809003220398584,1.10595176763569,0.791614352128904,1.14462946423333,41.3486961454737,59.3490724950319,39.7188989745628,61.9613053709787
10,5e+05,"exp",1,0.0195779351655028,NA,NA,0.0764673540477928,-3956.38812390998,7914.77624781997,18.0506584721052,1000,0.05,0.01,0.0180678255028548,0.0218900016471285,0.0176346830943083,0.0225814102274939,NA,NA,NA,NA
10,5e+05,"pow",1,1.6787641091501,NA,NA,0.220379752561405,-4131.05117689776,8264.10235379553,367.376764447667,1000,0.05,0.01,1.64439494503007,1.71112442248842,1.63310599539074,1.72206958750021,NA,NA,NA,NA
10,5e+05,"weib",2,0.821352934722954,41.0232475723307,0,0.0533360983415963,-3946.36279467393,7896.72558934786,0,1000,0.05,0.01,0.732218519139254,0.978310513474621,0.716593060810641,1.03429998843404,33.7699875498766,50.3751109395871,31.7262075108089,52.867634819647
25,5e+05,"exp",1,0.0197334177611771,NA,NA,0.102644635506283,-2954.94594786419,5911.89189572839,56.5935034250242,1000,0.05,0.01,0.0180069465807008,0.0229453638404855,0.0177213238607204,0.023908003639636,NA,NA,NA,NA
25,5e+05,"pow",1,2.16248737904207,NA,NA,0.079804595763185,-2956.97410737592,5915.94821475184,60.6498224484731,1000,0.05,0.01,2.1124608454181,2.26194660558716,2.1000908405771,2.29533507675687,NA,NA,NA,NA
25,5e+05,"weib",2,0.528844885650987,12.0704570610135,0,0.0202899081955951,-2925.64919615168,5855.29839230336,0,1000,0.05,0.01,0.437235141259536,0.694300664264797,0.413972120207828,0.745358646811416,5.51627103505294,24.8158470567634,4.02160395738016,29.0907036590008
